MatNr;Vorname;Nachname;E-Mail;Passwort;Lerngruppenname;LerngruppePasswort;SPO;Fachsemester;Bestandene Teilleistungen;Noch ausstehende Teilleistungen;3D Reconstruction Framework from Multi-View Images (3D-MuVi);Android-Applikation KIT-Mensa-Speiseplan;Assistenztools für den Maschinenbau;ChronoCommand - An Intelligent Web-Based Work Time Tracking Tool;Crowd Control -- Entwicklung von Steuerungsmechanismen für das Crowd Computing;DataDealer - Middelware für die interaktive Visualisierung verteilter Sensoren in WebApps;DataScientist -- benutzerorientierte Analyse großer hochdimensionaler Datenbestände;Der Microsoft Imagine Cup 2016 (nur 4er Teams);Der WorkspaceService - Die smarte Lernumgebung am KIT basierend auf HTML5 und REST;Distributed Camera Network 3D Calibration Suite;Dynamic scheduler for scientific simulations;Echtzeit-Computergrafik in der Spieleentwicklung;Industrie 4.0 und OPC UA;Interaktive Visualisierung von Real-Estate-Daten;Komponenten-Windkanal - Automatisches Ausmessen der Performance von Software-Komponenten;Medienbrowser zur inhaltsbasierten Suche in Bild- und Videodaten;Mobile Reconnaissance Manual -interaktive Assistenz für Erkennungsaufgaben;Modulares Multimedia-Werkzeug zum Testen von Videoencodern;Node.js Bindings for ROOT6 (auf Englisch);OpenID Connect for Linux (auf Englisch);ProfiNet-Modul für das Intrusion-Detection-System Snort;RoboCorder - Aufnahme und Wiedergabe von heterogenen Sensordaten eines humanoiden Roboters;Webapplikation zur Verwaltung Nachbearbeitung und Analyse multispektraler Datensätze
1288970;Sche;Hanisch;a;$2a$10$uRlKjxyoLQujKZTB2A2msuHEKQ2UanxeBKMLSpqLh2r9TOJ4uk2ve;;;2008;5;LA,Algo,HM,SWT;;4;4;5;3;4;4;6;3;4;4;3;5;3;4;4;7;4;6;6;6;3;3;4;
1235953;Pitrella;Selle;a;$2a$10$lbBp3Sp9jtILbTz5MxU.6.Jj374PpAvLW8Zhz2woZGKCfAD7.wSfW;39;$2a$10$mTibm/KlLc.9jOg4Soeq7.28ipeojpejc2r.rM3Qx7lN0VUqApOCG;2008;3;Algo,HM,SWT;;3;3;6;7;3;6;3;6;6;5;6;5;4;6;3;7;4;5;4;3;3;3;6;
1236056;Peglis;Kolbeck;a;$2a$10$1NLi7PeMVOncVZqxpqbgO.LMd8sDWBOWKiS/84sFrMbmF.J2gz9ka;23;$2a$10$W1HlhXiuzBEbcbRszaPBpub1r2hSDd.V720L2oDO9mTgW6lh/ZKrC;2008;3;LA,Algo,HM,SWT;;6;4;3;7;4;5;3;3;3;4;3;3;3;6;3;4;4;4;6;7;3;3;4;
1237835;Mojmir;Storz;a;$2a$10$9IWFmdZwYkbko0b9c9cTreYjr4dklEn63ts6mOToaPt8opIIUUdly;;;2008;5;LA,HM,SWT;;5;4;5;7;4;4;6;4;4;4;6;4;4;6;5;4;4;5;6;5;3;3;5;
1238079;Melahat;Meurer;a;$2a$10$49qo05WR2l.0dltl7tZTDueqQmrB.UUEQKJsXl34nTojCuuLieaQi;34;$2a$10$yDkwwcRE5qmR302S8rAN6OH3SzTV4PAcL8FOgXtJ9xHoWv0NXTq5C;2008;5;Algo,HM,SWT;;4;7;5;6;3;3;6;4;5;5;4;5;3;6;6;7;4;6;5;3;3;3;6;
1238364;Fabuizio;Sedlmeier;a;$2a$10$Kbwz418xFH0od6hqBTtWG.6TFhGkl.WEJP1CXfNAsomEWPRZWGhbe;;;2008;5;HM,SWT;;7;6;7;3;3;3;5;5;5;7;5;3;5;5;5;3;4;4;5;5;5;5;4;
1239682;Fadileh;Rückert;a;$2a$10$2BtV9YU7JRehWrd4Rf3Zr.G5r47fxJxyC/dLrNLA1hEk3o9x9iZBe;;;2008;5;LA,Algo,HM,SWT;;4;7;6;3;6;3;3;5;3;5;4;5;6;6;6;5;4;4;5;5;5;5;5;
1240791;Lilija;Gröne;a;$2a$10$hQygX5tUnVOtIEoBNkrh.e2kuF8kTeQg5FnIcakjAE6hNvxXZetFK;;;2008;7;LA,HM,SWT;;5;6;4;7;5;6;4;5;4;3;5;5;5;3;6;3;4;5;5;5;3;3;6;
1244009;Kuraja;Rieger;a;$2a$10$9qjCH1y5TGgkTm4gtzs4t.igyYDtDSzMjSOwhyTz7TKv8pH0LSmaa;45;$2a$10$YeqPyT57Bz7MMicNZtQiKOU9H4hKFcd4Jr2tvhfF3MFcRQYq395TW;2008;3;LA,Algo,HM,SWT;;3;6;6;5;3;5;3;6;3;4;4;7;3;6;3;4;4;6;3;6;6;7;7;
1244843;Anis;Pesch;a;$2a$10$EyVAZMz52kLq8PdvllWnkuwV30BHxcV6.3GBMKJtr2NeHESgUeIRm;27;$2a$10$4gq/DZD2L8oLsmlv/D4IOueDU/BDbziLFiOKJwZcGPoIeV9RVhwtO;2008;3;LA,Algo,HM,SWT;;4;3;5;3;3;4;4;5;5;3;5;5;7;3;4;6;4;4;4;7;4;5;6;
1245029;Nasim;Brugger;a;$2a$10$JX8zAC/qYQ6NRiWnHdpBSezPDbP4deswu9JgV7g.xzDoMY6svGNme;51;$2a$10$ual7KaSPCqZEwq9sQ94F9Oa.yxDoHS6gzeNQFOn6hCQ9FI4a7UkVK;2008;3;LA,Algo,HM,SWT;;3;4;3;3;3;3;6;3;4;5;3;4;3;4;3;5;4;5;3;3;4;5;7;
1247503;Safak;Limbach;a;$2a$10$1Zspjllc75nZVPwqmOrZfOC0n8PD3yFW2B64CAIKq2Z789RpHjvLa;46;$2a$10$TbI6OgPJGueaFmAj5jSGmevRDFLiSVSrMjob.7hhZmrvvUuKNEgou;2008;3;LA,Algo,HM,SWT;;6;5;4;7;4;4;4;4;4;3;7;3;4;4;5;7;4;6;3;5;3;3;6;
1247547;Haider;Veith;a;$2a$10$og/csCa9jAaTFoObHE3ReuTccUn2TcpJ5n9M1r0g1uL.PjU9Esh9u;48;$2a$10$qp/SWHmZ0iwNx8E/Xtw7/OENcFWqE2GX5vBi8GTN2vNQWZlKZzDAy;2008;5;Algo,HM,SWT;;3;5;4;7;3;7;3;5;6;7;7;4;7;5;6;5;4;6;4;3;3;3;6;
1307101;Ulf-Karsten;Pätzold;a;$2a$10$aaWuOzP/rfXvtHlZ5N35w.UvQ2A0Bf52Id/GiBQJod0EHlp.6xajO;38;$2a$10$stsgE4lngrRmlh218VYuZ.5dXIIOAVhASOmtucamX3eXpzt1jGfOW;2008;3;LA,HM,SWT;;3;5;3;7;4;6;3;4;3;4;7;3;4;7;5;3;4;3;5;6;3;5;6;
1310605;Harra;Ehret;a;$2a$10$m7YRrsWww66Fu99cCT9bfOnd.5v/zttxt4s/iXFEf/an7wWi98Z5y;10;$2a$10$hfQILxiQAY717kms3ecAIOm8A7Vx9tAdLUvKg9Ay4cyTPQ7AQkDh6;2008;3;LA,Algo,HM,SWT;;5;6;5;4;3;6;5;3;4;3;6;5;3;7;3;6;4;6;3;3;3;3;4;
1320743;Amporn;Rank;a;$2a$10$Nw2lu/0eXcBrF251Znj8WOXP5A1WpLuzzrj0ZkczZy2TkEp2PPZzi;;;2008;3;Algo,HM,SWT;;3;4;7;6;3;4;3;3;3;5;7;3;3;7;3;5;4;7;7;3;3;4;3;
1323482;Art;Radke;a;$2a$10$0x1dCRJzKespyDoSeecfBOM0dKnrDV6Xq8Y11miG4WkHsbs1ZRWVS;19;$2a$10$YcWIb5iMcUpDtRvmrZGY5O63bBjHJ/Nn3/43uv7fYfRsR3oOQ9Ns2;2008;5;Algo,HM,SWT;;5;5;4;7;3;7;3;6;4;3;3;5;6;5;5;7;4;6;6;5;6;7;7;
1327562;Keld;Kahlert;a;$2a$10$fKtIi1G2CoA08P0IDyopnudnpI/TijFDEkIt7V.2g0JFopiV/JKei;;;2008;3;LA,Algo,HM,SWT;;3;4;6;4;3;3;3;3;4;4;3;4;4;4;3;3;4;7;3;4;5;3;4;
1333120;Ingeburg;Baumgärtel;a;$2a$10$NYTGo4VK0DwAESf/xcrHVeDpun0cKCKlsalUWHTYTwdcKY.ks57Jm;31;$2a$10$i.dSjsZAeFaPqwjTeOin0.PK3F9t6vABd3SiBvLLCEzcqiOnAm1cK;2008;5;LA,Algo,HM,SWT;;4;5;5;5;3;7;7;5;7;5;7;3;3;7;3;6;4;7;3;6;3;3;5;
1336575;Ates;Gerhard;a;$2a$10$EchR1tZlpsf/OmQ9PSxmfObsYYrctXkuMSnXZFFDhc3myTFpocdty;18;$2a$10$FfGLYYVTE784SBqUqOPzKei8jpBsY8wvqB.L9vKaJ6GKBpAjimLzu;2008;3;HM,SWT;;4;7;6;5;3;7;4;4;4;3;5;3;6;7;6;7;4;4;4;4;3;3;6;
1340845;Altintas;Matthies;a;$2a$10$ay6K07MItfOVGlrQg0G9bOYDPKynz42LXjHfBqGIkQrV6HVnQhDGa;;;2008;3;LA,Algo,HM,SWT;;4;5;5;7;3;5;3;5;3;7;5;4;5;3;3;5;4;5;4;4;4;3;3;
1341061;Mandita;Schwenk;a;$2a$10$vNySfJOvmk3NkOOck3uQnO0IdHMcFIdcjE.Usts01YBIryMxjnqe.;41;$2a$10$JPLybTXG1IUYXeawKUYe4unjaUKw3..qq2VpqSXZMXPbafpBGs/SW;2008;5;LA,Algo,HM,SWT;;4;6;4;6;5;7;3;5;5;3;6;7;3;6;6;7;4;3;3;5;4;4;7;
1358287;Khorram;Vogel;a;$2a$10$GTow7HcNOQED2APWA.mQPOY5/rVyDE3crtwRd5hu1ZoMzSfNNyw4G;5;$2a$10$x7ErNxpubnmSdr4z1IVMKOiSUWPFrlL1UkYgqxGsjiigd2X3hoNVS;2008;3;LA,Algo,HM,SWT;;4;6;6;4;4;5;4;4;4;3;5;5;4;4;4;3;4;6;3;6;3;3;3;
1363294;Panagiotis;Keppler;a;$2a$10$8r5B/RDlizIa/F1ZUijsb.gQlCOtyD6Ns2pIdYVySF3YHsa7flM.e;9;$2a$10$nHUfEz.GC5//qs5BHrY4Ou8QZj3FhsATrzwUazXRVR0cT5XZdSg2y;2008;3;LA,Algo,HM,SWT;;5;4;5;4;4;5;5;4;6;5;5;4;5;5;4;7;4;6;7;4;4;3;4;
1369457;Gavin;Stellmacher;a;$2a$10$7r/FRCOJNWPFHyiXmG/Eoe2gIeO1BibCafn85CObMfSPYomwcRc.6;;;2008;3;HM,SWT;;5;5;6;7;3;6;3;3;4;5;3;5;5;7;3;7;4;5;6;5;3;3;3;
1292380;Jürgen-Dieter;Tröger;a;$2a$10$ruQhPFZwioTX80X6QYHWMO4zCfdI8ZwQQFDSIpv4iuUYDrVJasNUy;36;$2a$10$pAjPTDSHUFL1gujkBn7lHuMgz/ay/iBTca5/70oulQbafb7LTDCSa;2008;3;LA,Algo,HM,SWT;;3;3;6;7;3;5;4;4;4;3;5;4;3;6;3;6;4;5;5;3;3;3;6;
1292450;Lollia;Sohn;a;$2a$10$f9vmevc.qcZWLVVsfpHff.Z..GgUokLTTIRF4s5Iio4HiIQuacRQK;17;$2a$10$lDLFarWipk/PlmYiNwl6X.T13ntlvATE9OlGQjxVT.UtQzn8sayJC;2008;5;LA,Algo,HM,SWT;;4;5;3;6;4;7;5;5;5;4;5;3;7;5;4;4;4;3;3;3;6;5;4;
1292726;Annemari;Denk;a;$2a$10$90rHWVoYsuk4yeeZNee93e/UXBu/Rgt5Gfb93JiAq3UJxLsb0LN6e;51;$2a$10$ual7KaSPCqZEwq9sQ94F9Oa.yxDoHS6gzeNQFOn6hCQ9FI4a7UkVK;2008;3;LA,Algo,HM,SWT;;3;4;3;3;3;3;6;3;4;5;3;4;3;4;3;5;4;5;3;3;4;5;7;
1293673;Karolus;Langhans;a;$2a$10$yLuh06ucjP67XRO1xRo/8uwGfjUVb6SKVCNclv3rUU96c1dh/LcJ2;5;$2a$10$x7ErNxpubnmSdr4z1IVMKOiSUWPFrlL1UkYgqxGsjiigd2X3hoNVS;2008;3;LA,Algo,HM,SWT;;4;6;6;4;4;5;4;4;4;3;5;5;4;4;4;3;4;6;3;6;3;3;3;
1295143;Daniza;Mehl;a;$2a$10$x7dldvpCG6pyWpWuqJEidOM9ZVjaaM6xZ3x3fiQ/.161xr0YluubO;13;$2a$10$uJN6KVykT/oB0pOd42TmpuNZtB7YA54NRNaLLI3ezmyGZgPtdH8VC;2008;3;LA,Algo,HM,SWT;;3;7;6;5;5;5;3;4;5;6;3;4;3;4;4;7;4;3;4;6;4;4;3;
1296011;Olferino;Palm;a;$2a$10$dIeL2ETshA1.7jDboTPSX.xrbm8fm0VCQUxBq9hdXnB/FCKlwqvaG;48;$2a$10$qp/SWHmZ0iwNx8E/Xtw7/OENcFWqE2GX5vBi8GTN2vNQWZlKZzDAy;2008;5;LA,Algo,HM,SWT;;3;5;4;7;3;7;3;5;6;7;7;4;7;5;6;5;4;6;4;3;3;3;6;
1305788;Gülsüm;Wiedmann;a;$2a$10$TAZul7letw3s/62LomZQYucxGcTyDbay.JCn3UssOdTazFPj8GBJe;27;$2a$10$4gq/DZD2L8oLsmlv/D4IOueDU/BDbziLFiOKJwZcGPoIeV9RVhwtO;2008;5;Algo,HM,SWT;;4;3;5;3;3;4;4;5;5;3;5;5;7;3;4;6;4;4;4;7;4;5;6;
1306149;Dilber;Altmann;a;$2a$10$kc3L7ITGYZJdaGPCoB4kVe1f9ysn4hbcHq7bbVMZQyfWosQDdCPn.;25;$2a$10$5coRegyCFR/GTrZszTf7/eCNuqU/0t.5okVvSVA/8/VbBAQDuWaMO;2008;3;Algo,HM,SWT;;5;5;7;7;3;6;4;5;4;4;6;6;3;6;4;6;4;7;5;5;3;3;3;
1371212;Toska;Rosenbaum;a;$2a$10$h8BqUuRpXSHpGHQfWfgo3eKhnpVY34LSIWmFQwmezKOwa9K9bwjt6;14;$2a$10$6guZVnUhb2JHW1sMFAy1n.I7XaDSEa72XWGal5w5H8WosTqxWYRG.;2008;3;LA,Algo,HM,SWT;;5;3;3;7;5;7;6;4;4;6;7;3;3;4;5;7;4;3;5;5;3;4;3;
1378335;Mesinovic;Götze;a;$2a$10$MJD1mOvy5u5Rm0A3VP15K.eDka7haSnKgP/7smhhbeHL2sBrvp46W;24;$2a$10$pmEpxbQ3x2M.dQYPCTwuaOzvbtqc7cnIRy.BkqV54cW/qiXBMS4mG;2008;3;Algo,HM,SWT;;5;5;3;4;5;6;4;5;6;4;5;3;3;6;5;6;4;7;5;7;3;4;6;
1379355;Dordo;Ludewig;a;$2a$10$c26ApWHqaWep/X9n756y7.soDlYYWi8hIi.Ssjg.ecZ.rOQ0XSIUW;;;2008;3;LA,Algo,HM,SWT;;4;3;3;5;4;4;3;3;4;3;4;3;3;7;4;4;4;3;4;4;3;3;3;
1384172;Yuness;Thom;a;$2a$10$joy8pvc1ZMtMYxs1j1fvhe3sa7XwGkoH1o9yksraM.Mlsv.xOmVqq;23;$2a$10$W1HlhXiuzBEbcbRszaPBpub1r2hSDd.V720L2oDO9mTgW6lh/ZKrC;2008;3;Algo,HM,SWT;;6;4;3;7;4;5;3;3;3;4;3;3;3;6;3;4;4;4;6;7;3;3;4;
1387552;Marie-Paule;Bräuer;a;$2a$10$L7rkx8YOzjc.bh.TrCVvRuBdGMtsir2gIcExYg/4nabGlYnwy7Sku;;;2008;7;HM,SWT;;7;5;7;5;4;3;3;5;4;3;5;6;4;7;4;3;4;7;4;6;3;4;5;
1390303;Feuvranija;Meinhardt;a;$2a$10$N.Weht9stSariptWmKDnP.pl0LKqhSE5DlpMSvxJyjIIQcsjGrcrm;28;$2a$10$cC17DGCMJlTSS5TFmD0uMuHtlnAVpfP245Eb3fEOEAhzvAvDi4.R6;2008;5;LA,Algo,HM,SWT;;4;4;4;6;4;5;4;4;5;7;5;4;3;7;4;4;4;5;3;5;3;3;3;
1392000;Mersiye;Danner;a;$2a$10$SS/8zr53YR6TidYxJb.JXOACc8mb8LgIX1WwsSOC.2hJtSZuiIlYS;;;2008;3;LA,HM,SWT;;3;7;4;4;3;6;5;4;4;4;3;3;4;3;3;4;4;4;3;3;3;3;3;
1395521;Yesilkaya;Förtsch;a;$2a$10$XSif.o8E2CH2MmQbJRkCCucHJNjBE5iPAEGBhfcui84lsLURQwFlG;25;$2a$10$5coRegyCFR/GTrZszTf7/eCNuqU/0t.5okVvSVA/8/VbBAQDuWaMO;2008;3;Algo,HM,SWT;;5;5;7;7;3;6;4;5;4;4;6;6;3;6;4;6;4;7;5;5;3;3;3;
1411679;Sina;Stolte;a;$2a$10$LTN1vkBD5r7VTjy8/RQjCOf5OjNaUh/sYIsK33JYYE3TuZ9JTd98G;37;$2a$10$tfYM1yq1sfLfIqql4Pj68OjxFnf28xzI3/UTFTjed42IOcHdSBkGu;2008;3;LA,HM,SWT;;5;5;5;6;4;6;5;3;4;3;7;5;3;3;6;5;4;6;3;4;3;3;6;
1413054;Jeanine;Schnieders;a;$2a$10$rYQWklZCSDoCFdPW6pgIG.9Vs4TKOPJ78bR01WbAJt3kT6RLMNXc2;29;$2a$10$ECXKcZ/qoZCrxXg9RPgEUu3tuRT17s/aCofYAL3VPwEYA/YkCkPSK;2008;3;HM,SWT;;4;5;7;7;4;6;3;3;4;3;4;4;3;3;3;6;4;7;6;4;3;3;3;
1415828;Rodoslav;Polster;a;$2a$10$P5eUoAIFheWcZ.v3wXPNKOv8XM5nxM7sHwIJPqbFH83t28hysbEAC;47;$2a$10$Dr6D0PowIMj9KlnRQGvFCOC59kF.N/gCVB7WpuSoPImz/pA5hxH8q;2008;3;Algo,HM,SWT;;4;4;7;6;5;3;4;3;3;3;7;5;3;6;5;7;4;6;5;4;3;3;7;
1416815;Fatin;Klug;a;$2a$10$y7EQFFF5ipumdY11I6wGkO0EO7oQpb/0wYwZN6CdxwTOrf44Mt8Ja;23;$2a$10$W1HlhXiuzBEbcbRszaPBpub1r2hSDd.V720L2oDO9mTgW6lh/ZKrC;2008;5;LA,Algo,HM,SWT;;6;4;3;7;4;5;3;3;3;4;3;3;3;6;3;4;4;4;6;7;3;3;4;
1422557;Amanuel;Oehme;a;$2a$10$R5ufjtu.V4mDt6sGfc1/tu7ISNozMHEzu7SjaIoBHB04YWw2lzjfC;25;$2a$10$5coRegyCFR/GTrZszTf7/eCNuqU/0t.5okVvSVA/8/VbBAQDuWaMO;2008;3;LA,Algo,HM,SWT;;5;5;7;7;3;6;4;5;4;4;6;6;3;6;4;6;4;7;5;5;3;3;3;
1422801;Fredl;Schwartz;a;$2a$10$gAOnFo4ImdHvHauIz7p9w.TY1IIX6X1Nn0bpJjMQXyn7FwIOXQSiG;;;2008;3;HM,SWT;;3;6;3;4;6;4;3;3;4;5;3;4;3;3;6;7;4;4;4;4;3;3;6;
1429752;Ademaj;Göhring;a;$2a$10$lN7xJIRbfwBUX8z02PUxGu7RNT3nsHAgzpvvymeanYIrDfGfKCPpO;35;$2a$10$JJLUQGINf5XJc1t95E9X9.GfR2JwFCS7sLTuyIo0/2uUqJMKR0x12;2008;5;Algo,HM,SWT;;5;5;5;7;5;6;3;5;3;5;5;5;3;5;5;6;4;6;6;5;3;3;6;
1432745;Inci;Fehrenbach;a;$2a$10$v9ka1YdrH4JOyyZ/wwuH1uYzY.G4937uAY7tKC3qKDrWwwiNWiAH6;;;2008;7;HM,SWT;;5;5;6;6;4;4;4;6;5;3;3;4;3;7;4;6;4;6;3;6;3;3;5;
1433689;Ismael;Fritsche;a;$2a$10$6GHUv.rpVHIPvAS0ExysY.aDVbbuYa3GWoDpgE5Z2AHj5l33qJDgm;6;$2a$10$TtQowNZqWqdRt/f.yyb6j.N7IVkQO4c/chQkd.LsKSUvexqD5JWLi;2008;5;LA,HM,SWT;;4;7;7;5;4;5;6;4;4;3;5;5;3;7;4;4;4;7;4;5;3;3;4;
1450017;Cort;Hoch;a;$2a$10$osuxFCE3lAhEaex6BFj4vuzwKQSQMYqxMZpjuL6m.9BWgtrWDW.V6;;;2008;7;LA,HM,SWT;;6;6;7;5;4;6;3;3;4;6;7;5;6;3;5;7;4;3;6;3;7;7;4;
1452292;Ashley;Gräber;a;$2a$10$0eqtKBP0j2/4K0AYYBwAze1qURh9zsyKQ5UP7Qq8EN58wMC5BQnQe;27;$2a$10$4gq/DZD2L8oLsmlv/D4IOueDU/BDbziLFiOKJwZcGPoIeV9RVhwtO;2008;3;LA,HM,SWT;;4;3;5;3;3;4;4;5;5;3;5;5;7;3;4;6;4;4;4;7;4;5;6;
1454446;Karabas;Ertel;a;$2a$10$1hVyycsWfd43laxaxEaOW.J6C3xFoMk/P6EG82YQN6mazyYu5xT5S;45;$2a$10$YeqPyT57Bz7MMicNZtQiKOU9H4hKFcd4Jr2tvhfF3MFcRQYq395TW;2008;3;HM,SWT;;3;6;6;5;3;5;3;6;3;4;4;7;3;6;3;4;4;6;3;6;6;7;7;
1469651;Sebaat;Lücke;a;$2a$10$/W.BoXOXuHQJoD6XIfJ6eeo.hD8upVVPu8RDQSrLUOFW9mP2UuvFC;24;$2a$10$pmEpxbQ3x2M.dQYPCTwuaOzvbtqc7cnIRy.BkqV54cW/qiXBMS4mG;2008;3;LA,Algo,HM,SWT;;5;5;3;4;5;6;4;5;6;4;5;3;3;6;5;6;4;7;5;7;3;4;6;
1470725;Rago;Laufer;a;$2a$10$Bv1pbz/ZN07w45ZI9PhN/ev.kSACR0tdCEqKKp9ZmTcd4M3VcMzeC;;;2008;9;HM,SWT;;5;7;5;7;5;6;5;5;6;3;6;3;5;7;5;4;4;6;5;4;5;5;4;
1480999;Loan;Köpke;a;$2a$10$lOlA.vRZYj5LXXPIVyNh3.D6rZtMpPYblgE/Y6c5WCd6OQLSfTH2W;;;2008;5;LA,HM,SWT;;4;4;5;5;3;4;3;5;3;3;3;5;3;7;5;5;4;4;3;5;3;3;3;
1493177;Mirjana;Brosch;a;$2a$10$KO0/QNpo0X75AvrGLe7oE.rNqeV601vzc5HN.DYRXdf0XY4uthSSO;47;$2a$10$Dr6D0PowIMj9KlnRQGvFCOC59kF.N/gCVB7WpuSoPImz/pA5hxH8q;2008;3;LA,Algo,HM,SWT;;4;4;7;6;5;3;4;3;3;3;7;5;3;6;5;7;4;6;5;4;3;3;7;
1495005;Kirsa;Noe;a;$2a$10$h8ThsWvv5iepEoRDd2a46udTT9L6O14ROUw0eMcWkCvZ78flmxe4C;21;$2a$10$9X4oUug7PN5hKdJcNsUdcuglhg1vsDKrX/do1GJZYtF6Zx4ey7Nwq;2008;3;LA,Algo,HM,SWT;;3;4;4;5;3;6;6;3;3;7;5;3;3;6;3;6;4;4;3;3;3;3;5;
1498916;Yoshiyuki;Kötter;a;$2a$10$a9vDf2guVLoMiP8T7x.WTOnZJguQwJs6N3IrBkCiowzNWG8WNCL96;;;2008;3;LA,Algo,HM,SWT;;4;6;4;7;3;4;5;5;3;3;5;3;5;3;4;3;4;6;5;3;3;3;3;
1506197;Imkea;Sachs;a;$2a$10$Cj9La88iRuassK665h9cA.S2nzmUXDj71NHrWAfwy4SKVjprkQzU6;26;$2a$10$s48kAVpIM3mYl5ksqdbBXOWh5dDxcEgTWwiYGTDSlGdhVUmVSDj5y;2008;3;LA,Algo,HM,SWT;;4;6;6;4;4;6;3;5;4;3;5;5;4;4;4;3;4;7;5;6;3;6;5;
1507583;Anadolu;Kircher;a;$2a$10$23/LLsgOvnnkpNWojbiIVu909NG/sSV3ejuKQJxlAh0hyZLLhHnIC;20;$2a$10$Ehbs5AkLcCqLz/rXlSCaweBLdwXtiW1uG5vWSeTtUgZZuZG8d9Gb.;2008;7;Algo,HM,SWT;;7;5;5;7;6;4;3;4;3;3;7;5;3;3;7;3;4;6;5;5;3;3;5;
1523702;Eusebia;Amend;a;$2a$10$hJWsJYnBhaTVADXm09C3QupWX0VX67vUp7RjToR2t1eE9ac1/KiMe;36;$2a$10$pAjPTDSHUFL1gujkBn7lHuMgz/ay/iBTca5/70oulQbafb7LTDCSa;2008;3;LA,Algo,HM,SWT;;3;3;6;7;3;5;4;4;4;3;5;4;3;6;3;6;4;5;5;3;3;3;6;
1529980;Yorck;Moldenhauer;a;$2a$10$5tume.DFWOyg32k7nLltIe31ALiXvd/mf6hgquMz3zfiImZlZE0GW;32;$2a$10$i7VRP/WBm7wkdEFVY1ovNutVEifNC6mG9AXlAWcSIwD5fAEbVGUfy;2008;3;Algo,HM,SWT;;3;3;4;4;3;4;3;3;3;7;3;3;4;5;3;7;4;4;3;3;7;7;6;
1530023;Mogens;Eichmann;a;$2a$10$.zUrBRrn/cyKBPiiDW7ttuvQlzpZxB5fyZcrME2Nx08AAfw4gxNxm;49;$2a$10$c6m7Ixhk.pd10etjsfxxhu.D.G1mx/BZHkAhwBYaK0WR0QIiDn4vC;2008;5;LA,Algo,HM,SWT;;5;6;6;7;3;6;5;3;5;4;4;3;3;4;3;3;4;6;4;3;4;3;3;
1531192;Tessa;Schumacher;a;$2a$10$WyRWOHzxcyarrOHavg/uf.O4Iahn8oAV94GkDajJWAdB3pnlbNWdm;34;$2a$10$yDkwwcRE5qmR302S8rAN6OH3SzTV4PAcL8FOgXtJ9xHoWv0NXTq5C;2008;5;LA,Algo,HM,SWT;;4;7;5;6;3;3;6;4;5;5;4;5;3;6;6;7;4;6;5;3;3;3;6;
1541700;Her;Seliger;a;$2a$10$OgLRYpRUZExWYEzWCk.ULO8U5cIC5dBI0TSP2Zqj5Za8GB0tZep8O;7;$2a$10$INchIDtXNXUsMLzNpemK3uL3EAMkfg.Qxv0jlRtC8FY/cjyM/SPye;2008;3;HM,SWT;;6;7;6;7;4;7;3;3;4;7;3;6;3;3;3;5;4;5;3;4;5;5;4;
1541914;Bertram;Friedmann;a;$2a$10$ql9rQeRzZtu03xM94KVg/OjtrncfjPQoekKtraXatvovdNkiXehX2;22;$2a$10$oJAo8gbvRc1pU6ZYfyC8..ekESci7PTeXl58.uSWkoC/XAWR8qTYC;2008;3;LA,Algo,HM,SWT;;3;7;7;4;3;6;3;4;4;4;3;6;4;5;3;6;4;7;5;6;3;3;5;
1544865;Die;Zinke;a;$2a$10$pil7AA.U//nNVvO1t0scPeHBJKtDGLIY0XrO9qR2Zgf9/MoNXYL4O;41;$2a$10$JPLybTXG1IUYXeawKUYe4unjaUKw3..qq2VpqSXZMXPbafpBGs/SW;2008;5;LA,Algo,HM,SWT;;4;6;4;6;5;7;3;5;5;3;6;7;3;6;6;7;4;3;3;5;4;4;7;
1550534;Vanda;Schäffler;a;$2a$10$Sb2.HILhhO9MidNz9Ng/XOPBgzcKMiko9QJwaV7uI6naCa4pyGxWm;45;$2a$10$YeqPyT57Bz7MMicNZtQiKOU9H4hKFcd4Jr2tvhfF3MFcRQYq395TW;2008;3;LA,Algo,HM,SWT;;3;6;6;5;3;5;3;6;3;4;4;7;3;6;3;4;4;6;3;6;6;7;7;
1458943;Heijo;Stapf;a;$2a$10$6XdmFLK8CIyXKEBrV6lBTuKVFLN43CmxgdBBiKJ4o6iZajnO/m5RO;52;$2a$10$vI1ILUr3GDrAf2CRA5ivG.dnL.ueUs8PHk42l3t.9pZtyOxJ3H6fa;2008;3;LA,Algo,HM,SWT;;3;5;6;4;4;4;3;4;4;5;3;6;4;7;4;6;4;5;4;5;4;4;7;
1462989;Paulin;Bausch;a;$2a$10$paUUh6wEE0NM3cfuyiGAs.brBhG8fPPxyjWkpkDg3KoJu1d944smi;37;$2a$10$tfYM1yq1sfLfIqql4Pj68OjxFnf28xzI3/UTFTjed42IOcHdSBkGu;2008;3;LA,Algo,HM,SWT;;5;5;5;6;4;6;5;3;4;3;7;5;3;3;6;5;4;6;3;4;3;3;6;
1463131;Palic;Mende;a;$2a$10$9tsPuHGO7TTVeKBr0yX2y.XBmRQjub1xfvtlLITY7QnPVrRcLa8Wq;49;$2a$10$c6m7Ixhk.pd10etjsfxxhu.D.G1mx/BZHkAhwBYaK0WR0QIiDn4vC;2008;5;HM,SWT;;5;6;6;7;3;6;5;3;5;4;4;3;3;4;3;3;4;6;4;3;4;3;3;
