MatNr;Vorname;Nachname;E-Mail;Passwort;Lerngruppenname;LerngruppePasswort;SPO;Fachsemester;Bestandene Teilleistungen;Noch ausstehende Teilleistungen;"""3D Reconstruction Framework from Multi-View Images (3D-MuVi)""";"""Android-Applikation KIT-Mensa-Speiseplan""";"""Assistenztools für den Maschinenbau""";"""ChronoCommand - An Intelligent Web-Based Work Time Tracking Tool""";"""Crowd Control -- Entwicklung von Steuerungsmechanismen für das Crowd Computing""";"""DataDealer - Middelware für die interaktive Visualisierung verteilter Sensoren in WebApps""";"""DataScientist -- benutzerorientierte Analyse großer hochdimensionaler Datenbestände""";"""Der Microsoft Imagine Cup 2016 (nur 4er Teams)""";"""Der WorkspaceService - Die smarte Lernumgebung am KIT basierend auf HTML5 und REST""";"""Distributed Camera Network 3D Calibration Suite""";"""Dynamic scheduler for scientific simulations""";"""Echtzeit-Computergrafik in der Spieleentwicklung""";"""Industrie 4.0 und OPC UA""";"""Interaktive Visualisierung von Real-Estate-Daten""";"""Komponenten-Windkanal - Automatisches Ausmessen der Performance von Software-Komponenten""";"""Medienbrowser zur inhaltsbasierten Suche in Bild- und Videodaten""""Mobile Reconnaissance Manual -interaktive Assistenz für Erkennungsaufgaben""";"""Modulares Multimedia-Werkzeug zum Testen von Videoencodern""";"""Node.js Bindings for ROOT6 (auf Englisch)""";"""OpenID Connect for Linux (auf Englisch)""";"""ProfiNet-Modul für das Intrusion-Detection-System Snort""";"""RoboCorder - Aufnahme und Wiedergabe von heterogenen Sensordaten eines humanoiden Roboters""";"""Webapplikation zur Verwaltung Nachbearbeitung und Analyse multispektraler Datensätze"""
1591060;Marlott;Knopf;a;b;42;c;2008;5;HM,SWT,Algo;;1;0;4;0;2;0;0;0;0;0;2;4;0;0;1;4;2;1;3;0;0;4
1597350;Adelina;Spiegel;a;b;26;c;2008;3;HM,SWT,Algo;;1;3;3;1;1;3;0;2;1;0;2;2;1;1;1;0;4;2;3;0;3;2
1598015;Puric;Mehlhorn;a;b;10;c;2008;3;HM,LA,SWT,Algo;;2;3;2;1;0;3;2;0;1;0;3;2;0;4;0;3;3;0;0;0;0;1
1604870;Jvica;Haupt;a;b;46;c;2008;3;HM,LA,SWT,Algo;;3;2;1;4;1;1;1;1;1;0;4;0;1;1;2;4;3;0;2;0;0;3
1605186;Gür;Amann;a;b;16;c;2008;3;HM,LA,SWT,Algo;;3;1;3;4;0;4;2;1;3;0;3;1;0;4;0;4;3;1;3;0;0;1
1612340;Jamil;Knabe;a;b;29;c;2008;3;HM,LA,SWT,Algo;;1;2;4;4;1;3;0;0;1;0;1;1;0;0;0;3;4;3;1;0;0;0
1618947;Inac;Kreutzer;a;b;11;c;2008;3;HM,LA,SWT,Algo;;3;2;1;3;1;3;0;2;1;4;3;2;2;4;1;2;3;1;2;1;2;2
1619466;Cafar;Kettler;a;b;51;c;2008;3;HM,LA,SWT,Algo;;0;1;0;0;0;0;3;0;1;2;0;1;0;1;0;2;2;0;0;1;2;4
1620788;Vishwadeep;Heinzelmann;a;b;;c;2008;3;HM,LA,SWT,Algo;;3;3;2;1;2;2;1;2;2;3;0;1;2;1;1;1;2;1;2;2;1;4
1623446;Panajiotis-Takis-Mario;Radtke;a;b;;c;2008;7;HM,LA,SWT,Algo;;2;1;0;4;0;3;3;1;3;2;4;0;0;2;0;0;2;2;0;0;2;3
1627030;Beijen;Zenker;a;b;32;c;2008;3;HM,LA,SWT,Algo;;0;0;1;1;0;1;0;0;0;4;0;0;1;2;0;4;1;0;0;4;4;3
1629876;Evi;Römer;a;b;41;c;2008;5;HM,SWT,Algo;;1;3;1;3;2;4;0;2;2;0;3;4;0;3;3;4;0;0;2;1;1;4
1633637;Sabina;Kretz;a;b;49;c;2008;3;HM,SWT,Algo;;2;3;3;4;0;3;2;0;2;1;1;0;0;1;0;0;3;1;0;1;0;0
1644076;Ankica;Gruber;a;b;37;c;2008;3;HM,LA,SWT,Algo;;2;2;2;3;1;3;2;0;1;0;4;2;0;0;3;2;3;0;1;0;0;3
1650725;Vincenzo;Winkel;a;b;;c;2008;5;HM,LA,SWT,Algo;;2;4;3;1;0;2;1;2;2;0;2;1;1;2;0;2;2;2;1;0;1;1
1652209;Astrid-Marion;Küsters;a;b;;c;2008;3;HM,SWT,Algo;;3;1;2;4;3;3;4;1;3;4;3;1;1;4;2;2;1;3;3;1;1;2
1656592;Stergiani;Lanz;a;b;1;c;2008;5;HM,SWT;;0;2;4;3;0;2;2;2;2;2;1;4;0;4;0;3;3;3;1;0;0;2
1658158;Mihail;Warnke;a;b;46;c;2008;3;HM,LA,SWT;;3;2;1;4;1;1;1;1;1;0;4;0;1;1;2;4;3;0;2;0;0;3
1660505;Nurudin;Fellner;a;b;50;c;2008;3;HM,LA,SWT,Algo;;1;3;3;4;1;3;1;1;1;3;3;1;1;1;1;4;3;3;3;0;1;2
1674713;Manzi;Bellmann;a;b;51;c;2008;3;HM,SWT,Algo;;0;1;0;0;0;0;3;0;1;2;0;1;0;1;0;2;2;0;0;1;2;4
1696887;Jana;Timmermann;a;b;;c;2008;5;HM,LA,SWT;;2;3;2;4;2;4;1;1;2;1;4;0;0;4;3;2;2;2;0;0;0;1
1698410;Mabel;Braune;a;b;;c;2008;3;HM,SWT,Algo;;0;1;3;0;0;1;0;0;0;4;0;1;1;4;0;0;2;1;0;0;2;3
1709968;Karoly;Holland;a;b;23;c;2008;3;HM,LA,SWT,Algo;;3;1;0;4;1;2;0;0;0;1;0;0;0;3;0;1;1;3;4;0;0;1
1712834;Dannle;Keil;a;b;44;c;2008;3;HM,LA,SWT,Algo;;0;1;3;0;0;0;0;2;0;3;0;3;2;0;2;0;4;0;1;2;1;3
1719914;Jürge;Möckel;a;b;;c;2008;3;HM,SWT,Algo;;2;3;2;4;0;2;0;2;0;3;4;2;2;4;1;4;1;2;1;0;0;2
1724258;Sandra;Sachs;a;b;8;c;2008;3;HM,SWT,Algo;;2;4;2;3;2;0;1;1;1;3;0;2;0;1;4;4;3;3;4;0;0;3
1730818;Lutz-Bernd;Brenner;a;b;26;c;2008;3;HM,SWT,Algo;;1;3;3;1;1;3;0;2;1;0;2;2;1;1;1;0;4;2;3;0;3;2
1740520;Hargobinderam;Rieger;a;b;;c;2008;3;HM,LA,SWT,Algo;;1;1;2;3;1;2;1;1;1;2;2;1;1;2;1;4;2;2;1;1;2;4
1750409;Nazif;Manthey;a;b;10;c;2008;3;HM,LA,SWT,Algo;;2;3;2;1;0;3;2;0;1;0;3;2;0;4;0;3;3;0;0;0;0;1
1752070;Volkmar;Walker;a;b;10;c;2008;3;HM,LA,SWT,Algo;;2;3;2;1;0;3;2;0;1;0;3;2;0;4;0;3;3;0;0;0;0;1
1766798;Damaris;Grau;a;b;38;c;2008;3;HM,SWT,Algo;;0;2;0;4;1;3;0;1;0;1;4;0;1;4;2;0;0;2;3;0;2;3
1772277;Petito;Wachter;a;b;2;c;2008;3;HM,SWT,Algo;;1;2;2;4;2;4;4;1;4;0;4;2;1;1;2;1;1;3;2;1;1;3
1774052;Abid;Sigl;a;b;21;c;2008;3;HM,LA,SWT,Algo;;0;1;1;2;0;3;3;0;0;4;2;0;0;3;0;3;1;0;0;0;0;2
1775528;Monika;Seitz;a;b;;c;2008;3;HM,LA,SWT,Algo;;2;1;1;4;0;0;2;1;2;0;3;1;0;2;0;1;2;1;1;0;0;1
1785069;Manzoorul-Haqu;Fuhr;a;b;13;c;2008;3;HM,SWT,Algo;;0;4;3;2;2;2;0;1;2;3;0;1;0;1;1;4;0;1;3;1;1;0
1787415;Fazaneh;Küpper;a;b;46;c;2008;3;HM,LA,SWT,Algo;;3;2;1;4;1;1;1;1;1;0;4;0;1;1;2;4;3;0;2;0;0;3
1788634;Rebecca;Reineke;a;b;39;c;2008;3;HM,SWT,Algo;;0;0;3;4;0;3;0;3;3;2;3;2;1;3;0;4;2;1;0;0;0;3
1788742;Buyar;Seiler;a;b;48;c;2008;5;HM,LA,SWT,Algo;;0;2;1;4;0;4;0;2;3;4;4;1;4;2;3;2;3;1;0;0;0;3
1791564;Manoubia;Miller;a;b;;c;2008;6;HM,SWT;;1;3;1;2;2;2;1;1;2;3;2;1;0;4;1;3;2;1;1;0;0;3
1793391;Soudabeh;Ehrenberg;a;b;24;c;2008;3;HM,LA,SWT,Algo;;2;2;0;1;2;3;1;2;3;1;2;0;0;3;2;3;4;2;4;0;1;3
1799651;Konstantine;Benz;a;b;36;c;2008;3;HM,LA,SWT,Algo;;0;0;3;4;0;2;1;1;1;0;2;1;0;3;0;3;2;2;0;0;0;3
1805345;Greta;Knobloch;a;b;44;c;2008;3;HM,LA,SWT,Algo;;0;1;3;0;0;0;0;2;0;3;0;3;2;0;2;0;4;0;1;2;1;3
1806396;Gabriele-Maria;Schmidt;a;b;;c;2008;5;HM,LA,SWT,Algo;;2;2;2;1;1;2;1;1;3;0;2;2;0;2;2;2;2;3;3;0;0;3
1807606;Borka;Schlichting;a;b;;c;2008;7;HM,SWT;;3;3;1;4;0;2;1;3;1;2;3;2;1;3;1;3;2;2;2;2;1;0
1808333;Manutscher;Klumpp;a;b;29;c;2008;3;HM,LA,SWT,Algo;;1;2;4;4;1;3;0;0;1;0;1;1;0;0;0;3;4;3;1;0;0;0
1809601;Vesela;Thiede;a;b;17;c;2008;5;HM,SWT;;1;2;0;3;1;4;2;2;2;1;2;0;4;2;1;1;0;0;0;3;2;1
1819313;Peker;Wiemer;a;b;45;c;2008;7;HM,SWT;;0;3;3;2;0;2;0;3;0;1;1;4;0;3;0;1;3;0;3;3;4;4
1825007;Dejan;Baumgartner;a;b;29;c;2008;3;HM,SWT;;1;2;4;4;1;3;0;0;1;0;1;1;0;0;0;3;4;3;1;0;0;0
1826004;Atila;Metz;a;b;3;c;2008;5;HM,LA,SWT,Algo;;0;0;2;0;0;1;0;0;0;0;2;2;4;0;1;0;2;0;1;3;4;4
1826618;Paul-Heinz;Knittel;a;b;;c;2008;4;HM,LA,SWT,Algo;;0;3;3;3;4;3;3;2;2;0;4;0;0;2;3;4;3;2;1;0;0;1
1834916;Fanny;Boll;a;b;;c;2008;3;HM,LA,SWT,Algo;;1;4;4;0;2;1;0;2;2;0;1;2;3;4;2;1;3;1;3;2;3;2
1844474;Gisele;Neher;a;b;44;c;2008;3;HM,LA,SWT,Algo;;0;1;3;0;0;0;0;2;0;3;0;3;2;0;2;0;4;0;1;2;1;3
1844568;Saveta;Benner;a;b;45;c;2008;3;HM,LA,SWT,Algo;;0;3;3;2;0;2;0;3;0;1;1;4;0;3;0;1;3;0;3;3;4;4
1855997;Helm;Laufer;a;b;29;c;2008;3;HM,SWT,Algo;;1;2;4;4;1;3;0;0;1;0;1;1;0;0;0;3;4;3;1;0;0;0
1861490;Selam;Kleinert;a;b;32;c;2008;3;HM,SWT,Algo;;0;0;1;1;0;1;0;0;0;4;0;0;1;2;0;4;1;0;0;4;4;3
1864682;Leiwes;Bülow;a;b;25;c;2008;3;HM,LA,SWT,Algo;;2;2;4;4;0;3;1;2;1;1;3;3;0;3;1;3;4;2;2;0;0;0
1869874;Jakup;Kerber;a;b;5;c;2008;3;HM,LA,SWT,Algo;;1;3;3;1;1;2;1;1;1;0;2;2;1;1;1;0;3;0;3;0;0;0
1879521;Jelenka;Deckert;a;b;30;c;2008;3;HM,SWT,Algo;;1;2;0;4;1;4;0;3;2;1;4;1;2;4;4;3;4;3;0;1;2;4
1889289;Asisa;Moldenhauer;a;b;35;c;2008;3;HM,LA,SWT,Algo;;2;2;2;4;2;3;0;2;0;2;2;2;0;2;2;3;3;3;2;0;0;3
1893338;Krzystof;Gehrig;a;b;;c;2008;5;HM,LA,SWT,Algo;;0;0;3;3;3;0;1;0;1;0;3;4;0;0;3;0;4;4;0;0;0;3
1893940;Ehrenfried;Neumüller;a;b;47;c;2008;3;HM,SWT,Algo;;1;1;4;3;2;0;1;0;0;0;4;2;0;3;2;4;3;2;1;0;0;4
1897625;Roslin;Zinke;a;b;;c;2008;5;HM,LA,SWT,Algo;;2;2;3;3;1;2;2;2;2;2;3;3;0;4;1;2;2;2;3;0;0;3
1915750;Herold;Feldmeier;a;b;;c;2008;7;HM,SWT,Algo;;1;0;0;4;1;1;0;0;2;0;3;2;0;0;2;0;3;3;0;0;0;2
1915752;Jsljami;Schaffrath;a;b;;c;2008;5;HM,SWT;;0;1;1;4;0;4;1;2;1;0;2;0;1;2;4;2;2;0;1;1;1;3
1923889;Bruce;Milz;a;b;18;c;2008;3;HM,LA,SWT,Algo;;1;4;3;2;0;4;1;1;1;0;2;0;3;4;3;4;1;1;1;0;0;3
1927810;Lacy;Wiese;a;b;11;c;2008;3;HM,SWT,Algo;;3;2;1;3;1;3;0;2;1;4;3;2;2;4;1;2;3;1;2;1;2;2
1937418;Halime;Brockmann;a;b;1;c;2008;5;HM,LA,SWT,Algo;;0;2;4;3;0;2;2;2;2;2;1;4;0;4;0;3;3;3;1;0;0;2
1938300;Dirk;Stellmacher;a;b;34;c;2008;5;HM,LA,SWT,Algo;;1;4;2;3;0;0;3;1;2;2;1;2;0;3;3;4;3;2;0;0;0;3
1943325;Hanns-Heinrich;Borrmann;a;b;15;c;2008;3;HM,SWT,Algo;;0;2;1;4;0;3;0;2;0;0;3;1;0;0;0;3;2;0;2;0;1;3
1947185;Evgret;Zeiler;a;b;;c;2008;5;HM,SWT;;2;1;1;4;0;3;1;1;0;4;3;1;0;3;1;2;1;1;1;2;2;1
1947758;Virginia;Ewers;a;b;;c;2008;5;HM,SWT,Algo;;1;0;0;1;0;2;0;0;0;2;3;2;0;4;2;0;2;4;1;0;0;0
1953388;Heide-Rose;Maus;a;b;;c;2008;7;HM,LA,SWT,Algo;;1;2;0;4;0;2;1;0;3;2;0;0;0;1;0;2;1;0;0;0;0;3
1955345;Etto;Kreis;a;b;2;c;2008;3;HM,LA,SWT,Algo;;1;2;2;4;2;4;4;1;4;0;4;2;1;1;2;1;1;3;2;1;1;3
1959413;Cifka;Koll;a;b;11;c;2008;3;HM,LA,SWT,Algo;;3;2;1;3;1;3;0;2;1;4;3;2;2;4;1;2;3;1;2;1;2;2
1970293;Ivon;Wichmann;a;b;;c;2008;3;HM,LA,SWT,Algo;;1;2;3;4;1;2;0;0;1;0;2;2;0;2;1;4;2;1;2;0;1;0
1979769;Roman;Ley;a;b;12;c;2008;3;HM,LA,SWT,Algo;;2;4;3;0;2;2;2;1;2;1;1;3;1;2;3;0;4;2;2;1;1;3
1980797;Stipo;Maaßen;a;b;;c;2008;5;HM,SWT,Algo;;0;1;3;1;0;1;0;0;2;0;0;1;0;4;0;1;1;0;1;0;0;3
1987434;Selale;Neugebauer;a;b;;c;2008;3;HM,SWT;;1;3;3;3;0;2;0;1;0;4;3;2;1;4;0;3;3;1;3;1;1;1
1993734;Kurtek;Lucas;a;b;4;c;2008;5;HM,SWT;;2;3;0;4;1;2;0;2;1;0;2;0;0;2;3;4;2;3;1;1;0;1
1996438;Calut;Winkelmann;a;b;43;c;2008;7;HM,SWT;;0;0;1;4;0;2;1;2;0;3;3;1;0;3;0;0;1;0;2;0;0;0
1997470;Kosan;Ullmann;a;b;;c;2008;3;HM,SWT;;2;4;4;0;3;1;3;2;3;2;3;2;2;3;2;1;3;1;1;3;3;4
